,district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
1,AK01,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
2,AL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
3,AL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
4,AL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
5,AL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
6,AL05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
7,AL06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
8,AL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
9,AR01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
10,AR02,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
11,AR03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
12,AR04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
13,AZ01,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
14,AZ02,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
15,AZ03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
16,AZ04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
17,AZ05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
18,AZ06,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
19,AZ07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
20,AZ08,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
21,AZ09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
22,CA01,Likely Republican,6,Solid Republican,7,Safe Republican,7,6.666666667
23,CA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
24,CA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
25,CA04,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
26,CA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
27,CA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
28,CA07,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
29,CA08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
30,CA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
31,CA10,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
32,CA11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
33,CA12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
34,CA13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
35,CA14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
36,CA15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
37,CA16,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
38,CA17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
39,CA18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
40,CA19,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
41,CA20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
42,CA21,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
43,CA22,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
44,CA23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
45,CA24,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
46,CA25,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
47,CA26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
48,CA27,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
49,CA28,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
50,CA29,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
51,CA30,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
52,CA31,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
53,CA32,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
54,CA33,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
55,CA34,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
56,CA35,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
57,CA36,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
58,CA37,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
59,CA38,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
60,CA39,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
61,CA40,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
62,CA41,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
63,CA42,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
64,CA43,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
65,CA44,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
66,CA45,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
67,CA46,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
68,CA47,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
69,CA48,Tossup,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
70,CA49,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
71,CA50,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
72,CA51,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
73,CA52,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
74,CA53,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
75,CO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
76,CO02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
77,CO03,Likely Republican,6,Solid Republican,7,Lean Republican,5,6
78,CO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
79,CO05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
80,CO06,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
81,CO07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
82,CT01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
83,CT02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
84,CT03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
85,CT04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
86,CT05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
87,DE01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
88,FL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
89,FL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
90,FL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
91,FL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
92,FL05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
93,FL06,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
94,FL07,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
95,FL08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
96,FL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
97,FL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
98,FL11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
99,FL12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
100,FL13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
101,FL14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
102,FL15,Tossup,4,Tilt Republican,4.5,Lean Republican,5,4.5
103,FL16,Lean Republican,5,Likely Republican,6,Likely Republican,6,5.666666667
104,FL17,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
105,FL18,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
106,FL19,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
107,FL20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
108,FL21,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
109,FL22,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
110,FL23,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
111,FL24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
112,FL25,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
113,FL26,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
114,FL27,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
115,GA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
116,GA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
117,GA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
118,GA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
119,GA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
120,GA06,Tossup,4,Lean Republican,5,Lean Republican,5,4.666666667
121,GA07,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
122,GA08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
123,GA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
124,GA10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
125,GA11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
126,GA12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
127,GA13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
128,GA14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
129,HI01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
130,HI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
131,IA01,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
132,IA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
133,IA03,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
134,IA04,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
135,ID01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
136,ID02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
137,IL01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
138,IL02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
139,IL03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
140,IL04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
141,IL05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
142,IL06,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
143,IL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
144,IL08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
145,IL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
146,IL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
147,IL11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
148,IL12,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
149,IL13,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
150,IL14,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
151,IL15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
152,IL16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
153,IL17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
154,IL18,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
155,IN01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
156,IN02,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
157,IN03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
158,IN04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
159,IN05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
160,IN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
161,IN07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
162,IN08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
163,IN09,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
164,KS01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
165,KS02,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
166,KS03,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
167,KS04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
168,KY01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
169,KY02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
170,KY03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
171,KY04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
172,KY05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
173,KY06,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
174,LA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
175,LA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
176,LA03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
177,LA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
178,LA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
179,LA06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
180,MA01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
181,MA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
182,MA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
183,MA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
184,MA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
185,MA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
186,MA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
187,MA08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
188,MA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
189,MD01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
190,MD02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
191,MD03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
192,MD04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
193,MD05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
194,MD06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
195,MD07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
196,MD08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
197,ME01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
198,ME02,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
199,MI01,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
200,MI02,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
201,MI03,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
202,MI04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
203,MI05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
204,MI06,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
205,MI07,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
206,MI08,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
207,MI09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
208,MI10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
209,MI11,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
210,MI12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
211,MI13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
212,MI14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
213,MN01,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
214,MN02,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
215,MN03,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
216,MN04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
217,MN05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
218,MN06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
